rg,com,수도권,수도권,수도권,동부권,동부권,동부권,서부권,서부권,서부권,지역중간수요계,수도권,수도권,수도권,동부권,동부권,동부권,서부권,서부권,서부권,지역최종수요계,지역총수요계,수입,산출액
rg,com,농산품,공산품,서비스,농산품,공산품,서비스,농산품,공산품,서비스,제품중간수요계,소비,투자,수출,소비,투자,수출,소비,투자,수출,제품최종수요계,제품총수요계,(공제),산출액
수도권,농산품,0,3,1,0,0,0,0,1,0,5,1,0,0,0,0,0,0,0,0,1,6,0,6
수도권,공산품,2,112,71,1,36,14,1,37,13,287,29,21,215,9,6,0,7,8,0,295,582,0,582
수도권,서비스,1,79,302,1,27,31,1,28,28,498,387,164,67,33,13,0,31,11,0,706,1204,0,1204
동부권,농산품,0,1,2,1,7,2,0,2,0,15,3,0,0,3,1,0,1,0,0,8,23,0,23
동부권,공산품,0,43,38,4,158,40,1,36,13,333,20,15,0,19,11,226,7,7,0,305,638,0,638
동부권,서비스,0,4,15,2,59,76,0,3,4,163,11,2,0,194,77,26,5,1,0,316,479,0,479
서부권,농산품,0,2,3,0,1,1,1,12,2,22,3,0,0,1,0,0,2,1,0,7,29,0,29
서부권,공산품,0,46,40,1,41,15,6,88,31,268,15,9,0,7,4,0,15,5,168,223,491,0,491
서부권,서비스,0,3,17,0,3,3,2,41,56,125,15,4,0,5,1,0,146,71,12,254,379,0,379
수입,농산품,0,3,0,0,2,0,0,3,0,8,1,0,0,1,0,0,1,0,0,3,11,-11,0
수입,공산품,0,101,41,0,130,18,1,99,18,408,27,29,2,15,12,0,11,13,0,109,517,-517,0
수입,서비스,0,6,25,0,6,13,0,4,8,62,15,5,0,7,1,0,7,1,0,36,98,-98,0
중간투입계,중간수요계,3,403,555,10,470,213,13,354,173,2194,527,249,284,294,126,252,233,118,180,2263,4457,-626,3831
피보,피용자보수,0,71,324,2,63,135,3,43,109,750,0,0,0,0,0,0,0,0,0,0,0,0,0
영잉,영업잉여,2,52,170,9,45,65,11,43,45,442,0,0,0,0,0,0,0,0,0,0,0,0,0
고소,고정자본소모,1,45,104,2,37,48,2,32,38,309,0,0,0,0,0,0,0,0,0,0,0,0,0
생산세f,생산세,0,11,51,0,23,18,0,19,14,136,0,0,0,0,0,0,0,0,0,0,0,0,0
부가가치계f,부가가치계,3,179,649,13,168,266,16,137,206,1637,0,0,0,0,0,0,0,0,0,0,0,0,0
총투입액f,총투입액,6,582,1204,23,638,479,29,491,379,3831,0,0,0,0,0,0,0,0,0,0,0,0,0
